job_link,title,company,company_link,location,employment_details,date_posted,is_remote,description_list,employment_pay,job_board,date_updated,company_logo,employment_skills,easy_apply,scraped_at
https://www.ziprecruiter.com/jobs//j?lvk=WlyykBWNg4MEc84KyRW8hQ,2024 Summer Software Engineering Intern,CodeHS,,"Chicago, IL, USA",,2023-12-06,,"We're looking for someone who is excited about 
programming
 and teaching 
programming
. We want someone who is creative, a good communicator, and excited about problem solving. CodeHS is a distributed ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=OZKBON_bUDpGs9RgrN7Nhw,Senior Software Engineer - Exchange & Algo Framework Team,Belvedere Trading,,"Chicago, IL, USA",,2024-01-25,,"We are currently seeking an experienced 
Software
 
Engineer
 to join our dynamic team. As an Exchange and Algo Framework 
Software
 
Engineer
, you will partner with trading and technology teams to ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=A0pRJR-IQwWBRYz2JvD1yA,Senior Software Engineer,Abbott,,"Chicago, IL, USA",,2023-12-07,,"What You'll Work On As a Sr. 
Software
 
Engineer
, you will be responsible for translating complex problems into elegant solutions and help to deliver on complex global projects. This role will work ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=2QDkrBviGaS-0zvNfWUTYg,Sr. Software Engineer - React,"Applied Systems, Inc.",,"Chicago, IL, USA",,2024-01-17,,"Ability to complete all Sr. 
Software
 
Engineer
-level duties, including designing, creating, and maintaining code, as well as developing and improving coding standards and procedures. * Coach and ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=taJ8yuq5PSPM-lzz5IowTQ,Full-Stack Software Engineer (Go and Vue),Jackbox Games,,"Chicago, IL, USA",,2024-01-21,,"Jackbox Games is a leading video game company known for creating innovative and engaging party games that can be played across various platforms, including consoles, computers, and mobile devices. Our games, such as ""The Jackbox Party Pack"" series and titles such as “Quiplash” and “Fibbage” have become a hit among gamers and non-gamers alike, providing laughter and entertainment at social gatherings around the world.
As a Full-Stack Software Engineer at Jackbox Games, you will play a crucial role in the development and maintenance of our cutting-edge multiplayer systems. You will work closely with a talented team of engineers, designers, and artists to create captivating experiences that bring people together through interactive entertainment.
Note: This is not a game developer role.
Responsibilities:
- Develop and maintain both server-side and client-side software components using Go (Golang) and Vue.js frameworks.
- Collaborate with the game-play engineering team to design and implement scalable, high-performance systems for multiplayer games.
- Participate in the entire software development life cycle, including planning, design, implementation, testing, deployment, and maintenance.
- Write clean, efficient, and well-documented code, following industry best practices and coding standards.
- Optimize system performance and troubleshoot technical issues to ensure smooth gameplay and user experiences.
- Integrate and interact with various APIs and third-party services to enhance systems and tooling functionality.
- Work closely with designers and artists to implement game features, UI elements, and animations.
- Collaborate with cross-functional teams to improve development processes and workflows.
- Stay up-to-date with the latest trends and advancements in full-stack development, web technologies, and industry best practices.
- Contribute to code reviews, knowledge sharing, and mentorship to foster a collaborative and learning environment.
Requirements
- Proven experience as a Full-Stack Software Engineer, with a focus on back-end development using Go and front-end development using Vue.js.
- Strong proficiency in Go (Golang) programming language and Vue.js (or comparable) framework.
- Experience with dynamically scaling multi-user environments and real-time communication protocols is highly desirable.
Nice to have qualifications:
- Experience with cloud platforms such as AWS or Azure.
- Familiarity with containerization technologies like Docker and orchestration tools like Kubernetes.
- Understanding of network programming and security principles in a multi-user context.
Benefits
Okay, but what are the perks?!
- Pay range: $101,000 -$137,000. Please note: individual compensation packages are based on various factors unique to each candidate and position, including (but not limited to) skill set, experience and qualifications.
- Other benefits: 401(k) with matching. We pay 100% of the cost of premiums for medical, dental, vision, disability and life insurance for our employees. We also cover a really nice chunk of the cost of premiums for spouse/partner/dependent medical, dental and vision insurance. Paid parental leave.
- Flexible work schedule and environment. Our employees are encouraged to work where they feel the safest and most productive. Our office in Lincoln Park in Chicago is open (and fully stocked with snacks) for folks that prefer to work in the office. Due to various legal and tax implications we can only offer employment to residents of the following states: California, Connecticut, Florida, Illinois, Indiana, Massachusetts, Michigan, New York, Ohio, Pennsylvania, Texas, Utah, Vermont, Washington, Wisconsin.
- Flexible PTO. Take time off when you need to recharge, take a trip, or just catch up on life.
- Annual stipends for therapy, education, wellness and home office equipment to encourage our employees’ lifelong learning pursuits and support mental and physical health.
- Creative work environment. We are lucky to work in a place that is full of talented and innovative folks. Most of the day, the place is pretty quiet (we’re a focused bunch), but this is punctuated with hilarious outbursts and general merriment.
Interested?
Great, we look forward to reading your application. Please include:
- Your resume.
- A cover letter. You don't need to be a professional writer for this job (we have those) but we would love to hear more about you that we can't see from your resume.
On the fence? If you're interested in the job but worried you aren't qualified, we encourage you to err on the side of applying. We'd hate to miss out on great candidates just because they're worried they don't check every box on the job description.
We know it is a time commitment to prepare an application and we respect that effort by thoughtfully reviewing every complete application and responding one way or the other. But that kind of thoughtful review means that it sometimes takes us a while to get back to applicants, so please be patient with us and no phone calls.
Thanks for your interest in Jackbox Games!",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=CWplx1Md7W66cILEB1FB1Q,Senior Software Engineer,CIBC,,"Chicago, IL, USA",,2024-01-18,,"The Senior 
Software
 
Engineer
 collaborates with 
developers
, architects, and infrastructure specialists to gather requirements and conduct research to evaluate the application of new and emerging tools ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=W7IhGvXDn_DRMfiq_v0SfA,Software Engineer (Solana Blockchain),bloXroute Labs,,"Chicago, IL, USA",,2024-01-11,,"As a 
Software
 
Engineer
 at bloXroute, you will be a core member of the team responsible for supporting the development of the Solana platform. In this position, you will be expected to have a deep ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=k_Gf4Yu1vPpSu1ikYjtWdA,Intermediate Software Engineer (Remote),Super.com,,"Chicago, IL, USA",,2023-12-04,,"From a 
Software
 
Engineer
 you may grow on the IC track into a Senior 
Software
 
Engineer
, and from there into a Staff 
Software
 
Engineer
 or 
Engineering
 Manager. Responsibilities * Ship projects end-to ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=rDLxDHdGJfrcY1UP1YOS9A,Senior Software Engineer (multiple positions),"Morningstar, Inc.",,"Chicago, IL, USA",,2024-01-19,,"Job Duties: * Primary responsibilities of the Senior Salesforce 
Software
 
Developer
 role include working with core business partners in Sales, Finance, and Marketing to understand business ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=tNsKsQ9VnURnZYBgb4PGng,"Sr. Software Engineer, Test Engineering & Developer Productivity",DocuSign,,"Chicago, IL, USA",,2024-01-25,,"The Sr. 
Software
 
Engineer
 will execute all aspects of the 
software
 development lifecycle, including design, development, testing, deployment, and maintenance, to deliver on the vision of a true CI/CD ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=BoGQVWIHxgIrkgkVIADc0Q,Software Engineer,WALGREENS,,"Chicago, IL, USA",,2024-01-09,,"Develops 
software
 applications and tools. * Completes 
programming
 and performs testing and debugging applications * Develops 
software
 applications and tools using Agile development methodologies",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=qK7HTxHdVU-dcmimJNvxjg,Senior Software Engineer,WALGREENS,,"Chicago, IL, USA",,2024-01-26,,"This role is developing design skills, but has a comprehensive understanding of the organization's current 
software
 application and tools. Has in-depth knowledge of 
programming
 languages important to ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=QRGfU5nNGxBUZ5hYDinzaw,Software Engineer,Corrugated Supplies Company,,"Bedford Park, IL, USA",fulltime,2024-01-14,,"Company Summary:
 Corrugated Supplies Company (CSC), America’s largest independent sheet feeder, is a manufacturer and distributor of corrugated cardboard sheets. For more than 50 years, we’ve been dedicated to providing point of purchase (POP) display and box makers with innovation that spawns choice and value for its diverse customer needs. With 8 locations across the United States, CSC is home to the most advanced fleet of corrugators and our plans for expansion will continue to create meaningful employment opportunities across the nation. Come grow your career with us!
Why Work for Corrugated Supplies Company, LLC? 
At Corrugated Supplies Company, our employees are family. This mentality has allowed us to continue to grow and thrive within the corrugated industry. We are known for our exemplary service, with a focus on continuously improving the customer experience. Corrugated Supplies is committed to attracting, developing, and retaining dedicated, talented, and hardworking people whose values align with ours. Our success is because of our people, which is why we focus on ensuring our employees are proud to work for CSC.
As an employee of CSC, you are eligible for:
- Tuition reimbursement program for employees and dependent children up to age 26
- Competitive salary and benefits including health, dental, vision, life insurance, short term and long-term disability
- 401K with employer contribution
- Paid vacation time
- Employee Assistance Program (EAP)
As a member of the Information Systems group you are required to solving business problems through innovation & engineering practices. Apply depth of knowledge and expertise to all aspects of the software development lifecycle. Continuously partnering with many stakeholders to stay focused on common goals. CSC embrace a culture of experimentation and constantly strive for improvement and learning.
Duties & Responsibilities:
 Systems include MSMQ, Microsoft.NET Framework, C#, VB.Net, ASP.NET MVC, IIS, SQL, TFS and other version control software.
- Investigates, analyzes and resolves day-to-day technical problems using standard procedures
- Supports and maintains existing back-end and front-end applications
- Implement modern technology frameworks/tools to further advance the stability, scalability and adoption of products for internal and external client use.
- Demonstrated ability and strong desire to grasp new technologies
- Performs code testing on components and works to ensure that appropriate implementation standards are met. Evaluates design alternatives for development cost and solutions using various methods
- Works with stakeholders to gather and analyze requirements to build new features and infrastructure
- Manage multiple projects both independently and with multiple teams in a fast-paced environment
- Ability to communicate clearly, concisely, and accurately
- Support IS Help Desk with any application issues
- Travel/Weekend/Evening hours are rare but occasionally needed
- Performs other related work as needed
Minimum Qualifications and Education Requirements
- This position will not provide work visa status now or in the future.
- Bachelor's degree in Information Technology or related field required
- 7+ years of strong software design and development experience in Microsoft .NET Framework, C#, VB.Net, ASP.NET MVC, IIS, SQL, TFS, GitHub or other version control software
- Experience with distributed message brokers like MSMQ, Kafka, RabbitMQ, ActiveMQ, etc. required
- Familiarity with relational database management systems
- Experiences with Socket programming, Asynchronous programming patterns, JSON, SOAP/REST API/WSDL web services
- Demonstrated experience with building solid, testable, and maintainable clean code, using tools such as source control, unit testing and continuous integration
- Proven success working well in a team environment with flexibility to react to changing business needs
- Goal-oriented
- Strong time management skills
Physical Demands
 The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
- Ability to seat for prolonged periods
- Ability to tolerate visual exertion due to prolonged periods working with computers
- Ability to reach vertically and horizontally with hands and arms
- Possess required visual abilities close vision, distance vision, color vision, peripheral vision, depth perception, and ability to adjust focus
Working Conditions
: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
- Work space is climate controlled
- Exposure to a normal office work environment
EEOC:
 Equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=M9oPTEJmGmybd7crl59S6Q,Software Engineer Test Intern (Hybrid),Cboe,,"Chicago, IL, USA",,2023-09-07,,"Our QA 
engineers
 have a strong understanding of computer science fundamentals and 
software
 
engineering
. We are analytical thinkers. We are always learning our craft. If it's broken, we fix it. If it ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=xB7fR5C6rZtdzNQRJF7cgg,Software Engineer Remote US (Fintech),Turnblock.io,,"Chicago, IL, USA",fulltime,2024-01-19,,"About The Team
Our client is a venture-backed start-up that is revolutionizing the way the world interacts with cryptocurrency. Crypto assets remain largely inaccessible to most consumers, and they're changing that. The mission is to build a bridge between the rapidly changing digital asset ecosystem and the traditional financial institutions that power the world’s payments.
The team is building a seamless application layer that allows users to access the “long-tail” of digital assets that are currently only available to crypto-natives. The founding team has years of experience at some of the leading crypto firms, and they have successfully launched a number of on and off-ramps globally.
About the Role 
We are looking for a Software Engineer to commercialize the MVP and expand the engineering team. The ideal candidate is looking for a “player-coach” position - you will be engaged across the product and engineering teams, owning the technical stack and technical development. You will be working on interesting challenges in varied spaces, including payments, identity, and digital asset trading.
Blockchain experience is not required but its a plus.
Responsibilities: 
 Own the technical stack and lead deployment of our MVP 
 Architect the platform according to product specs to scale with future functionality 
 Integrate with industry-leading payments and blockchain APIs 
 Supervise system infrastructure to ensure security and reliability 
 Assist our efforts to recruit and onboard additional engineering talent 
 Provide mentorship and guidance to less senior members of the engineering team 
 Assist the management team in estimating the time and cost of feature builds for product 
roadmap planning
Requirements 
 5+ years of professional software development 
 3+ years of experience programming in Python / React / Postgres 
 Knowledge of Celery / Redis / Fast API a plus 
 Knowledge of technological trends for system design and architecture 
 Experience with testing frameworks and test-driven development 
 Experience building a product from 0 to 1 
 Leadership abilities and strategic thinking 
 Experience building in fintech; knowledge of blockchain technology a plus 
 Degree in Computer Science, Engineering or a related field
Bennies 
 
Competitive salary. You can even take it in fiat. 
 Strong equity compensation - you are getting in at the ground floor. 
 Phenomenal networking - you’ll be interacting directly with decision-makers in some of 
the highest-profile companies in both crypto and payments. 
 
Employer contribution towards health coverage (including vision & dental) - we want 
everybody to be healthy and happy while they change the world with us. 
 
Work remote, or work with us in either New York City or San Francisco. WeWork All 
Access memberships provided to all. 
 
The founding team is always on the go, hopping from conference to conference. We’d 
love to have you join us on the road! 
 
The founders believe strongly in meritocracy and treating our team with respect and 
dignity. We work hard to establish clear boundaries and work-life balance for our teammates.
Please apply and join this amazing journey!",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=n75xk9iJE5G6241XyW9_kw,Senior Software Engineer,Packback Inc,,"Chicago, IL, USA",,2024-02-02,,"Packback is looking for a Senior Software Engineer to support our mission to awaken and fuel the lifelong curiosity in every student. As a Senior Software Engineer at Packback, you will be building features that empower students and professors to have a better learning experience.
Packback’s A.I.-powered platform is used by educators in K-12 and higher education to help their students fall in love with the subject matter, drive personalized learning, and most importantly, quantify and improve student critical thinking skills.
Key job duties include communicating well, providing thoughtful feedback to teammates, pairing, actively improving our team knowledge-base, and of course, writing code. You’ll be improving our Python APIs that power Packback’s AI, supporting the integration of machine learning models in our web application, and incrementally improving our infrastructure and CI/CD pipeline. Further, this role is designed for a Senior Software Engineer ready to take the next step in their career, growing into a Team Lead position where they will balance managing other engineers with hands-on technical leadership.
Why You Should Work at Packback
Reach
 - The Packback Platform is used by more than 10 thousand educators and 1.5 million students, who collectively author more than 10 million posts a year. You will be a part of building a platform that has a huge impact on inspiring curiosity in students.
Training
 - We offer opportunities for learning and mentorship. We value people who like to wear many hats. You can get involved with the front end, back end, infrastructure and data functions.
Ownership
 - Packback is a rapidly growing company. You will have responsibility for bringing innovative features to market while working closely with the product team.
Want to learn more about engineering at Packback? Check out our docs repo on Github.
Requirements
At Packback, we are on the hunt for a dynamic individual who is enthusiastic about working on our backend, infrastructure, and data engineering landscapes. We value solid experience in backend engineering within a modern web application environment. Our technology stack includes Django with a strong focus on Natural Language Processing (NLP). However, our primary interest is in your overall prowess as a developer.
What We Expect:
- 
You should have significant experience in backend web development, ideally with modern frameworks such as Django, FastAPI, or Flask. 
- 
Strong experience in Python is crucial, especially in architecting and building high-performance services that meet rigorous reliability standards.
- 
Extensive experience in crafting thorough unit, integration, and end-to-end tests in Python.
- 
Strong skills in managing highly scalable cloud infrastructures and comfort with Infrastructure as Code (IaC) tools like Terraform. Familiarity with Docker, Kubernetes, and database management is highly desirable.
- 
At least 5 years in software engineering, preferably with web-based products. We value transferable experience over just the number of years in the field.
It's a Plus if You Have:
- 
Previous experience in leading or managing engineering teams.
- 
Experience in building, validating, and deploying machine learning models, particularly in a production environment. NLP experience would be a significant bonus.
- 
Comfort with Linux/UNIX systems.
- 
Experience in startup or small company environments is appreciated.
Our commitment to diversity
Working in the Education Technology space, it is an ethical necessity for us to build a diverse and inclusive team in order to better consider the needs of our audience’s wide range of backgrounds and educational experiences. We provide regular training on topics of diversity, equity, and inclusion to all employees.
Employees of color are invited to participate in a mentorship program with members of our executive team to build career skills and to help with career progression.
We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
Perks of working at Packback
A culture that you can be proud to build
: We work hard at building an inclusive culture of curiosity and continuous learning at Packback. In any role at Packback, being a good steward of our values and using them to inform decisions and communication can make an enormous impact on the business.
Work-life balance
: Packback offers an unlimited vacation policy. Team members are encouraged to take time off for volunteer opportunities. Our engineering team is fully remote, and provides flexibility and support for working wherever makes the most sense for you.
Competitive Salary and Benefits
: The salary range for this position is 
$120k-165k annually + bonus
. We set clear expectations for professional growth and offer an annual learning and development stipend.
BenefitsHealth & Wellness
- 
Medical Insurance
- 
Dental Insurance
- 
Vision Insurance 
- 
401(k) with a 50% employer match
- 
Stock options
- 
Disability Insurance
- 
Life Insurance
- 
Commuter Benefits
- 
Generous Parental Leave up to 12 weeks
- 
Family Medical Leave
- 
Unlimited Time Off
Additional Perks:
- 
Access to premium membership to One Medical
- 
Calm subscription
- 
Monthly Dashpass subscription by DoorDash",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=2rqWtiFZBIXCpFvqW6agpQ,Machine Software Engineer,ESPO Corporation,,"Chicago, IL, USA",,2024-01-21,,"MACHINE TOOL DESIGN SOFTWARE ENGINEER
(EBAM & ADDITIVE MANUFACTURING)
CHICAGO, IL -NEAR MIDWAY AIRPORT
DIRECT HIRE
SALARY: $70-$100K
Seeking a Software Engineer who will assist in planning and coordinating all activities related to software requirements of our EBAM and Additive Manufacturing systems.
You'll be doing a lot of this:
- Maintaining, supporting, and upgrading existing systems and applications
- Communicating and collaborating to solve problems
- Applying knowledge of best practices
- Design, develop and deploy software
- Presenting products and ideas
- Represent our client in front of customers and users
So, you should have this:
- Bachelor's degree in Computer Science or related engineering degree
- Minimum of 7 years of prior direct experience in software development, programming design, and systems management
- Experience and understanding with C#, C++, C, Labview, Visual Studio
- Experience with hardware-software integration, a good understanding of various communications protocols such as TCP/IP, UDP, RS232
- Experience with real-time system development
- Experience preferred with TwinCAT real-time development
- PLC, HMI industrial technology programming
- Strong knowledge of version control (Git or similar)
- Strong ability to grasp and apply new information quickly, high attention to detail, excellent problem-solving skills, ability to multi-task, and enthusiastic attitude
- Extensive experience with Microsoft Office applications
- Great communication and documentation skills
- Ability to work well in a team setting and make decisions in high-stress situations
- Travel to the client for installation, testing, debugging, start-up, commissioning, and training
 ESPO Corporation
www.espocorp.com 
View all open jobs at www.espocorp.com/jobs
 
Leaders in Technical Recruiting & Staffing since 1965
We are an Equal Opportunity Employer and value the benefits of diversity in our workforce
 
 .
 All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity and expression, national origin, disability, protected Veteran status, or any other attribute or protected characteristic by law. If you need assistance applying please contact us directly.",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=rWAmV9IS06aKc1uMnDIt8A,Software Engineer,Tree Top Staffing LLC,,"Chicago, IL, USA",fulltime,2024-02-02,,"We are seeking a skilled Software Engineer who will be responsible for designing, developing, and maintaining the company’s software. You will gather information to identify the company’s needs and program clean and efficient code to meet those needs. The ideal candidate is an analytical thinker with a proven ability to produce functional code.
Responsibilities: 
- Identify and evaluate the needs of the user
- Develop software to meet those needs
- Manage project priorities, deadlines, and deliverables
- Fix bugs and address user concerns
- Update software as needed
Qualifications:
- Degree in Computer Science or a related field preferred
- Previous experience as a Software Engineer or in a similar role is preferred
- Strong troubleshooting and analytical skills
- Ability to collaborate well as part of a team
- Strong written and verbal communication skills
- Understanding of relational databases
- Proficiency in multiple programming languages
- Experience with one or more web frameworks",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=scz7Odau597OObIxSjV2Lw,Software Engineer Remote or Chicago (Blockchain DeFi),Turnblock.io,,"Chicago, IL, USA",fulltime,2024-01-13,,"Experienced Software Engineer
Our client is on crypto’s cutting edge technology, and we’re looking for the right engineers to join them. This is a 
remote or onsite (Chicago)
 position for any US candidate. 
Our client's Blockchain Distribution Network (
BDN
) allows DeFi (Decentralized Finance) traders to make better trades by being better connected. The key difference is that in the decentralized world of DeFi, you need to be connected to 
everyone
.
Responsibilities
As a member of an agile engineering team, you will help design, implement, test and deploy new features in very short cycles to an always-on critical-path infrastructure.
Requirements
- 4+ years of backend SW development
- Experience using Go (Golang)
- Creative, independent, and hardworking
Bonus Qualifications
- Experience building arb-bots, liquidations-bots, wallets, and similar crypto products
- Experience running ETH nodes
- Experience modifying node codebase
- Experience in automated crypto trading and DeFi
Great compensation package.
If you think you fit the role please apply to join the blockchain journey.",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=BNrG2Q5A_ocsvvy7vLjk4w,IT Software Engineer Summer Intern (Hybrid),American Medical Association,,"Chicago, IL, USA",,2024-02-08,,"IT Softwar
e
 
Engineer
 Summer Intern Chicago, IL (Hybrid) The American Medical Association (AMA) is the nation's largest professional Association of physicians and a non-profit organization. We are a ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=tNsKsQ9VnURnZYBgb4PGng,"Sr. Software Engineer, Test Engineering & Developer Productivity",DocuSign,,"Chicago, IL, USA",,2024-01-25,,"The Sr. 
Software
 
Engineer
 will execute all aspects of the 
software
 development lifecycle, including design, development, testing, deployment, and maintenance, to deliver on the vision of a true CI/CD ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=lvnf8gd5Hcb0E0NkKF8PAA,Software Engineer (Trading Operations),Aquatic Capital Management,,"Chicago, IL, USA",,2024-02-05,,"At Aquatic, we are actively recruiting for a 
Software
 
Engineer
 experienced in developing, managing, and maintaining a full-stack platform with emphasis on the front-end user experience. In this role ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=MenJYXfNH2_RMc0Dt5Qefg,Software Engineer - Pangea (Hybrid),Enova International,,"Chicago, IL, USA",,2024-02-08,,"About the Role Pangea is seeking a Senior 
Software
 
Engineer
 who is eager to design new architecture, resolve operational issues, production debugging, and perform feature development. Our 
Engineering
 ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=WFHhiL9GQAP7n4lHL6Q5nA,Senior Software Engineer,Flint Hills Resources,,"Chicago, IL, USA",,2024-02-08,,"As a Senior 
Software
 
Engineer
 in Flint Hills Resources, you will focus on building and maintaining data products that enable and transform the planning and optimization of FHR's capital projects and ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=EEj9dZeccxSLeLKL0epa-g,Software Engineer,Pangea Money Transfer,,"Chicago, IL, USA",,2024-02-08,,"As a 
Software
 
Engineer
, you will: * Design, build and maintain APIs and services as part of the platform * Deliver quality focused 
software
 changes for our consumer facing applications * Work with ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=cKRMbZsEHe6E1XbRNn3oqg,Full Stack Software Engineer II,Abnormal Security,,"Chicago, IL, USA",,2024-02-03,,"About the Role
Abnormal Security is looking for a Full Stack Software Engineer to join the Inbound Email Products (IEP) team. The IEP team builds & operates core components of Abnormal's flagship Email Security product, such as Customer Portal Dashboards, Message Details, and Tooling/Enablement. This is a full stack team which is responsible for all the layers, including data storage, backend & frontend. The ideal candidate will have worked across the stack and has in depth knowledge about backend & distributed computing. 
What you will do 
- Design & Execute Software Projects which are critical to Abnormal's success with a group of engineers, through conception, design, implementation, launch & operation. 
- Provide guidance and mentorship for junior members of the team 
- Collaborate with Technical Program Managers, Product Managers, Go-ToMarket teams in order to implement, verify and iterate on the issues & requests coming from our customers
- Raise the bar of excellence in engineering, actively contributing to knowledge sharing within the team and participating in professional development activities.
Must Haves 
- BS degree in Computer Science, Applied Sciences, Information Systems or other related engineering field
- 2+ years of industry experience on full stack web development & distributed systems, designing & building software applications
- Experience with frontend frameworks, particularly React.js
- Experience working individually as well as in groups on a regular basis
- Experience working with distributed teams, proficient in asynchronous and written communication
- Experience building features & components from scratch and operating them, balancing feature development work with operational tasks
Nice to Have 
- Experience with our stack: AWS, K8, Django, Spark, Prometheus
- Familiarity with AWS services and deployment practices.
- Knowledge of containerization using Docker or similar technologies.
#LI-ML1
At Abnormal Security certain roles are eligible for a bonus, restricted stock units (RSUs), and benefits. Individual compensation packages are based on factors unique to each candidate, including their skills, experience, qualifications and other job-related reasons. We know that benefits are also an important piece of your total compensation package. Learn more about our Compensation and Equity Philosophy on our Benefits & Perks page.
Base salary range:
$147,200—$173,200 USD",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=hkhD41dqV-XZJWGfl9j0yg,Senior AWS Software Engineer,HALO,,"Chicago, IL, USA",,2024-02-03,,"As a Senior AWS 
Software
 
Engineer
 , you will be responsible for designing, developing, and maintaining both front-end and back-end components of our applications. You will collaborate with cross ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=70uC_TitkLBYQfUCNIJ5Zw,"Senior Software Engineer, Quant - Remote",The Chicago Board Options Exchange,,"Chicago, IL, USA",,2024-02-01,,"You will work within a team of seasoned 
developers
, technologists, and quants with immense ... Maintain and optimize existing 
software
 applications, and recommend and implement improvements",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=mpN_oCPsfDn0wje40E5QUQ,Senior Software Engineer - Research Products,CRSP,,"Chicago, IL, USA",,2024-02-09,,"The Role As a Senior 
Software
 
Engineer
 at CRSP, you will utilize your 
engineering
 skills to contribute to the Research Products platform, helping develop innovative and high-quality solutions on an ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=a3aPEAmbWKplkHz0jdT1qA,Software Engineer (AI),iManage,,"Chicago, IL, USA",,2024-02-01,,"Being a 
Software
 
Engineer
 (AI) at iManage Means... You are excited about joining forces with a multi-disciplinary team of data scientists and 
engineers
 to build on our cloud-native platform. As a ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=k5E8LlnpawqLG_-y9zERmg,Principal Software Engineer,Advantage Solutions,,"Chicago, IL, USA",,2024-01-12,,"... 
software
, and 
engineering
 execution standards. To be effective, a Principal 
Engineer
 @ Advantage Solutions develops expertise within their domain (understanding capabilities, strong problem-solving ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
https://www.ziprecruiter.com/jobs//j?lvk=MSkUbJiM7n4iCDyfzVMSCA,Software Engineer,Provi,,"Chicago, IL, USA",,2024-01-19,,"Hybrid positions are only applicable to employees within a 35-mile radius of Provi offices We are seeking a skilled and passionate 
Software
 
Engineer
 to join our team. This role involves enhancing our ...",,ZipRecruiter,,,,False, Feb_11_2024-10:07-PM
